Web link,URN,Linked Education URN,Provision type,Registration date,Registration status,Name,Address 1,Address 2,Town,County,Postcode,Ofsted region,Government Office Region,Local authority,Parliamentary constituency,Sector,Places,Short-break-only children's home,Organisation which owns the provider,Inspection event type,Inspection date,Inspection publication date,Inspection event number,Inspection overall experiences and progress of children and young people,Inspection outcomes in education and related learning activities,Inspection health services,Inspection how well children and young people are helped and protected,Inspection the effectiveness of leaders and managers,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159682,,Children's home,22/09/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,London,Islington,Islington South and Finsbury,Voluntary,4.00,0,St Christopher's Fellowship,Full inspection,06/05/2021,17/06/2021,10185107,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159755,,Children's home,02/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,London,Ealing,Ealing Central and Acton,Voluntary,4.00,0,St Christopher's Fellowship,Full inspection,26/01/2022,28/02/2022,10186695,Outstanding,,,Outstanding,Outstanding,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159868,,Children's home,29/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,South West,Dorset,West Dorset,Private,3.00,0,Cambian Childcare Limited,Monitoring inspection,01/06/2021,02/07/2021,10197042,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159868,,Children's home,29/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,South West,Dorset,West Dorset,Private,3.00,0,Cambian Childcare Limited,Full inspection,06/07/2021,05/08/2021,10193525,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159868,,Children's home,29/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,South West,Dorset,West Dorset,Private,3.00,0,Cambian Childcare Limited,Full inspection,20/04/2021,21/05/2021,10187627,Inadequate,,,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159884,,Children's home,07/03/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",North East,Stockton-on-Tees,Stockton North,Private,5.00,0,Spark Of Genius North East Llp,Full inspection,24/01/2022,04/03/2022,10187308,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1159903,,Children's home,08/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Salford,Salford and Eccles,Private,5.00,0,Holistic Approach Ltd,Full inspection,09/06/2021,08/07/2021,10185848,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1164089,,Children's home,16/08/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,East of England,Hertfordshire,St Albans,Private,4.00,0,Keys BR Limited,Full inspection,10/11/2021,14/12/2021,10187319,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183069,,Children's home,01/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,East of England,Suffolk,Ipswich,Private,6.00,0,Aspris Children's Services Limited,Full inspection,13/07/2021,09/08/2021,10185248,Good,,,Good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183136,,Children's home,09/09/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,East Midlands,Nottingham,Nottingham North,Voluntary,2.00,0,YMCA ROBIN HOOD GROUP,Full inspection,22/06/2021,30/07/2021,10185817,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183173,,Children's home,09/11/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,East Midlands,North Northamptonshire,Wellingborough,Private,4.00,0,TLC Youth Care Ltd,Full inspection,25/05/2021,22/06/2021,10186963,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183173,,Children's home,09/11/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,East Midlands,North Northamptonshire,Wellingborough,Private,4.00,0,TLC Youth Care Ltd,Interim inspection,22/02/2022,01/04/2022,10207468,Improved effectiveness,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183197,,Children's home,16/10/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Wakefield,Hemsworth,Private,4.00,0,KESWICK CARE LTD,Full inspection,25/01/2022,07/03/2022,10186148,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183495,,Independent Fostering Agency,30/09/2015,Active,Slough Children First,Observatory House,25 Windsor Rd  ,Slough,,SL1 2EL,South East,South East,Slough,Slough,Voluntary,,0,Slough Children First Limited,Full inspection,05/07/2021,26/08/2021,10183289,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183574,,Children's home,10/01/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Cheshire West and Chester,City of Chester,Local Authority,4.00,0,Cheshire West And Chester Council,Full inspection,10/11/2021,29/12/2021,10187612,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183605,,Children's home,29/02/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Lancashire,Lancaster and Fleetwood,Private,3.00,0,Lonsdale Care Ltd,Full inspection,02/11/2021,20/12/2021,10187006,Outstanding,,,Outstanding,Outstanding,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183799,,Children's home,25/11/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,South East,Slough,Slough,Private,4.00,0,Quality Care Homes (uk) Limited,Full inspection,08/06/2021,16/07/2021,10185328,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183826,,Children's home,04/04/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",North East,Sunderland,Sunderland Central,Private,8.00,Short-break-only children's home,Sunderland Care And Support Limited,Full inspection,08/02/2022,04/04/2022,10185852,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1183911,,Residential special school (registered as a children's home),05/11/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Halifax,Private,12.00,0,Young Foundations Limited,Full inspection,04/05/2021,08/06/2021,10187032,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1185488,,Children's home,30/11/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,South East,Reading,Reading East,Private,4.00,0,Kennet Care Limited,Full inspection,05/07/2021,08/09/2021,10185934,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1185765,,Children's home,09/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,4.00,0,Horizon Care and Education Group Limited,Full inspection,09/03/2022,21/04/2022,10187420,Good,,,Requires improvement to be good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1185828,,Children's home,08/02/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Wigan,Wigan,Private,4.00,0,Next Stage 4Life LTD,Full inspection,01/03/2022,08/04/2022,10186825,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1211772,,Children's home,17/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Richmond (Yorks),Private,6.00,0,Aspris Children's Services Limited,Full inspection,13/12/2021,27/01/2022,10185753,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1212094,,Children's home,09/02/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Salford,Worsley and Eccles South,Private,4.00,0,Hexagon Care Services Ltd,Full inspection,08/03/2022,08/04/2022,10187517,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1212117,,Children's home,01/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,East Midlands,Nottinghamshire,Gedling,Private,3.00,0,Pathway Care Solutions Ltd 04004053,Full inspection,12/10/2021,12/11/2021,10186716,Inadequate,,,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1212704,,Children's home,15/09/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Skipton and Ripon,Private,3.00,0,Hexagon Care Services Ltd,Full inspection,26/01/2022,14/03/2022,10187494,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1212708,,Children's home,09/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,East Midlands,Nottingham,Nottingham North,Private,3.00,0,Pathway Care Solutions Ltd 04004053,Full inspection,31/08/2021,08/10/2021,10186334,Inadequate,,,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1212708,,Children's home,09/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,East Midlands,Nottingham,Nottingham North,Private,3.00,0,Pathway Care Solutions Ltd 04004053,Full inspection,20/10/2021,26/11/2021,10206919,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1212708,,Children's home,09/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,East Midlands,Nottingham,Nottingham North,Private,3.00,0,Pathway Care Solutions Ltd 04004053,Monitoring inspection,10/01/2022,07/02/2022,10217698,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1212899,,Independent Fostering Agency,01/06/2016,Active,Fusion Fostering South Central,Fusion Fostering Ltd,FF4 Cams Hall,Fareham,Hampshire,PO16 8AB,South East,South East,Hampshire,Fareham,Private,,0,Fusion Fostering Limited,Full inspection,28/06/2021,31/08/2021,10183405,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1213416,,Children's home,24/11/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,West Midlands,Shropshire,Ludlow,Private,2.00,0,Reflexion Care Group Limited,Full inspection,15/09/2021,05/11/2021,10187625,Outstanding,,,Outstanding,Outstanding,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1213822,141512,Residential Special School,01/04/2015,Active,Langham Oaks,School Road,Langham  ,Colchester,Essex,CO4 5PA,East of England,East of England,Essex,Harwich and North Essex,Academy,28.00,0,Seax Trust (07747149),Full inspection,12/10/2021,18/11/2021,10183499,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1213828,,Children's home,29/09/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,St Helens,St Helens North,Private,2.00,0,Inspire Childrens Services Limited,Full inspection,13/04/2021,21/05/2021,10185703,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1214266,,Children's home,10/11/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,East Midlands,Leicestershire,Harborough,Private,4.00,0,Platform Childcare Ltd,Full inspection,10/08/2021,16/09/2021,10186946,Good,,,Requires improvement to be good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1214270,,Children's home,18/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Cheshire East,Macclesfield,Private,1.00,0,Esland North Limited,Monitoring inspection,19/10/2021,26/11/2021,10209964,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1214270,,Children's home,18/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Cheshire East,Macclesfield,Private,1.00,0,Esland North Limited,Full inspection,17/08/2021,01/10/2021,10185275,Inadequate,,,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1214270,,Children's home,18/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Cheshire East,Macclesfield,Private,1.00,0,Esland North Limited,Full inspection,30/11/2021,13/01/2022,10205466,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1214396,,Children's home,13/01/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,West Midlands,Herefordshire,North Herefordshire,Private,2.00,0,River Valley Care Ltd,Full inspection,26/10/2021,07/12/2021,10187358,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1215521,,Children's home,07/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,East Midlands,Nottingham,Nottingham South,Private,3.00,0,Resolute Care Ltd,Full inspection,04/01/2022,02/02/2022,10187545,Outstanding,,,Outstanding,Outstanding,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1216505,,Children's home,03/02/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Newcastle upon Tyne East,Private,5.00,0,Hennessy Living Group Limited,Full inspection,17/08/2021,22/09/2021,10186848,Inadequate,,,Inadequate,Inadequate,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1216505,,Children's home,03/02/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Newcastle upon Tyne East,Private,5.00,0,Hennessy Living Group Limited,Full inspection,13/10/2021,23/11/2021,10205931,Good,,,Good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1216505,,Children's home,03/02/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Newcastle upon Tyne East,Private,5.00,0,Hennessy Living Group Limited,Monitoring inspection,14/02/2022,05/04/2022,10221919,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1220887,,Children's home,29/11/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,West Midlands,Staffordshire,Stafford,Private,3.00,0,Hygge Care Ltd,Full inspection,03/11/2021,10/12/2021,10186381,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1221357,,Children's home,09/06/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Blackpool,Blackpool South,Private,4.00,0,Hexagon Care Services Ltd,Full inspection,23/11/2021,18/01/2022,10185924,Good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1221437,,Children's home,15/03/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,South West,Dorset,South Dorset,Private,5.00,Short-break-only children's home,Potensial Ltd,Full inspection,23/08/2021,13/10/2021,10187664,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1221700,,Children's home,02/02/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Lancashire,Ribble Valley,Private,5.00,0,Hexagon Care Services Ltd,Full inspection,23/02/2022,08/04/2022,10186280,Good,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1222089,,Children's home,17/02/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent South,Private,4.00,0,Platinum Services For Children (residential Care) Ltd,Interim inspection,08/03/2022,21/04/2022,10217206,Sustained effectiveness,,,,,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1222089,,Children's home,17/02/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent South,Private,4.00,0,Platinum Services For Children (residential Care) Ltd,Full inspection,22/06/2021,20/07/2021,10185412,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1223201,,Children's home,10/12/2015,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Leeds,Leeds Central,Local Authority,4.00,0,Leeds City Council,Full inspection,18/08/2021,23/09/2021,10185459,Outstanding,,,Outstanding,Outstanding,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1223681,,Children's home,14/04/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Lancashire,Burnley,Private,3.00,0,Sandcastle Care Ltd,Full inspection,19/05/2021,23/06/2021,10185983,Requires improvement to be good,,,Requires improvement to be good,Requires improvement to be good,,,,,,,,,,,,,,,,,,,,,
Ofsted Social Care Provider Webpage,1223681,,Children's home,14/04/2016,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,North West,Lancashire,Burnley,Private,3.00,0,Sandcastle Care Ltd,Interim inspection,11/11/2021,13/01/2022,10209588,Improved effectiveness,,,,,,,,,,,,,,,,,,,,,,,,,
